Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ben Sheppard,SG,22,IND,3,0,10.7,1.7,4.0,.417,1.0,2.7,.375,0.7,1.3,.500,.542,0.0,0.0,,0.3,1.0,1.3,0.7,0.0,0.0,0.0,1.3,4.3
Pascal Siakam,PF,29,TOR,11,11,34.5,7.3,15.5,.468,1.1,4.5,.240,6.2,11.0,.562,.503,3.1,4.5,.694,1.3,6.0,7.3,4.8,0.8,0.2,2.8,2.4,18.7
Ben Simmons,PG,27,BRK,6,6,31.8,3.2,6.0,.528,0.0,0.0,,3.2,6.0,.528,.528,0.2,0.7,.250,2.7,8.2,10.8,6.7,0.5,0.8,2.5,2.7,6.5
Anfernee Simons,SG,24,POR,1,1,27.0,6.0,14.0,.429,2.0,6.0,.333,4.0,8.0,.500,.500,4.0,4.0,1.000,1.0,1.0,2.0,4.0,2.0,0.0,0.0,2.0,18.0
Jericho Sims,C,25,NYK,5,0,3.2,0.2,0.4,.500,0.0,0.0,,0.2,0.4,.500,.500,0.2,0.6,.333,0.2,1.4,1.6,0.2,0.0,0.0,0.0,0.2,0.6
Jalen Slawson,SF,24,SAC,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Smart,PG,29,MEM,11,11,29.9,4.6,10.8,.429,1.6,5.5,.295,3.0,5.3,.569,.504,1.5,1.9,.810,0.3,2.2,2.5,5.0,2.0,0.4,3.4,3.2,12.5
Dennis Smith Jr.,PG,26,BRK,10,0,17.0,2.3,5.7,.404,0.6,1.7,.353,1.7,4.0,.425,.456,0.7,0.8,.875,0.8,1.5,2.3,3.0,0.7,0.2,1.1,2.3,5.9
Dru Smith,SG,26,MIA,7,0,18.1,2.1,4.6,.469,1.0,2.3,.438,1.1,2.3,.500,.578,0.3,0.3,1.000,0.9,1.0,1.9,2.0,1.1,0.4,0.7,1.6,5.6
Ish Smith,PG,35,CHO,4,0,12.5,0.8,1.8,.429,0.0,0.0,,0.8,1.8,.429,.429,0.0,0.0,,0.5,1.5,2.0,1.3,0.8,0.0,1.5,1.3,1.5
Jabari Smith Jr.,PF,20,HOU,9,9,28.1,5.0,10.3,.484,1.8,4.9,.364,3.2,5.4,.592,.570,0.6,1.0,.556,1.6,5.4,7.0,1.3,0.6,0.4,1.2,3.3,12.3
Jalen Smith,C,23,IND,9,0,16.1,4.3,6.1,.709,1.1,1.7,.667,3.2,4.4,.725,.800,1.2,1.7,.733,1.7,4.3,6.0,1.2,0.4,0.3,1.1,2.4,11.0
Nick Smith Jr.,SG,19,CHO,4,0,7.0,1.0,2.5,.400,0.8,1.5,.500,0.3,1.0,.250,.550,0.0,0.0,,0.0,0.5,0.5,0.5,0.3,0.0,0.3,0.3,2.8
Jeremy Sochan,PG,20,SAS,11,11,27.6,4.3,9.5,.452,0.7,1.7,.421,3.5,7.7,.459,.490,1.1,1.5,.706,1.4,3.8,5.2,4.5,0.9,0.4,2.5,3.3,10.4
Jaden Springer,SG,21,PHI,7,0,9.9,1.0,2.7,.368,0.1,0.6,.250,0.9,2.1,.400,.395,0.3,0.6,.500,0.6,0.9,1.4,0.7,0.4,0.6,0.9,1.6,2.4
Lamar Stevens,PF,26,BOS,3,0,5.7,1.3,2.3,.571,0.3,0.3,1.000,1.0,2.0,.500,.643,0.0,0.0,,1.3,0.3,1.7,0.7,0.3,0.0,1.0,1.0,3.0
Isaiah Stewart,PF,22,DET,12,12,33.0,4.6,9.7,.474,1.8,4.2,.420,2.8,5.5,.515,.565,1.4,2.0,.708,1.9,5.3,7.2,1.5,0.1,0.7,2.2,3.0,12.3
Julian Strawther,SF,21,DEN,8,0,9.9,2.0,4.5,.444,1.1,3.1,.360,0.9,1.4,.636,.569,0.0,0.3,.000,0.0,0.9,0.9,0.5,0.1,0.3,0.1,0.9,5.1
Max Strus,SF,27,CLE,11,11,35.1,5.1,11.9,.427,2.7,7.8,.349,2.4,4.1,.578,.542,1.4,1.5,.882,0.6,5.1,5.7,3.7,0.7,0.5,1.4,2.5,14.3
Jalen Suggs,SG,22,ORL,11,11,27.9,3.9,10.1,.387,1.5,4.6,.333,2.4,5.5,.433,.464,2.5,3.1,.824,0.9,3.2,4.1,2.9,2.2,0.5,2.1,2.8,11.9
Cole Swider,SF,24,MIA,1,0,2.0,2.0,3.0,.667,1.0,2.0,.500,1.0,1.0,1.000,.833,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
Jae'Sean Tate,SF,28,HOU,9,0,20.3,2.6,5.1,.500,1.1,2.6,.435,1.4,2.6,.565,.609,0.6,0.8,.714,0.9,2.9,3.8,1.2,1.6,0.4,0.2,2.6,6.8
Jayson Tatum,PF,25,BOS,11,11,36.5,10.2,19.7,.516,3.5,8.9,.398,6.6,10.8,.613,.606,4.5,5.7,.794,0.7,8.1,8.8,4.1,1.3,0.2,2.7,2.2,28.5
Terry Taylor,PF,24,CHI,3,0,2.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.7
Garrett Temple,SG,37,TOR,4,0,3.3,0.8,1.0,.750,0.3,0.3,1.000,0.5,0.8,.667,.875,0.5,0.5,1.000,0.0,0.5,0.5,0.0,0.3,0.0,0.0,0.0,2.3
Dalen Terry,SG,21,CHI,4,0,2.8,0.8,2.0,.375,0.3,1.0,.250,0.5,1.0,.500,.438,0.0,0.5,.000,0.0,1.0,1.0,0.8,0.0,0.0,0.3,0.3,1.8
Daniel Theis,C,31,IND,1,0,8.0,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Cam Thomas,SG,22,BRK,8,7,32.4,9.9,20.6,.479,2.1,6.6,.321,7.8,14.0,.554,.530,5.0,5.9,.851,0.3,3.5,3.8,2.1,0.9,0.6,1.3,1.9,26.9
Amen Thompson,SF,21,HOU,4,0,16.8,2.3,5.5,.409,0.5,2.8,.182,1.8,2.8,.636,.455,1.3,2.0,.625,0.3,2.5,2.8,1.5,0.5,0.3,1.5,2.3,6.3
Ausar Thompson,SF,21,DET,12,12,32.1,4.8,11.0,.432,0.3,2.3,.148,4.4,8.8,.505,.447,2.2,3.0,.722,3.9,6.4,10.3,3.7,1.3,1.9,2.2,3.3,12.0
Klay Thompson,SF,33,GSW,11,11,28.6,5.5,12.9,.423,2.4,6.9,.342,3.1,6.0,.515,.514,1.4,1.6,.833,0.6,2.9,3.5,1.8,0.4,0.5,1.8,2.3,14.6
Tristan Thompson,PF,32,CLE,9,0,9.2,0.9,1.2,.727,0.0,0.0,,0.9,1.2,.727,.727,0.4,0.8,.571,0.9,1.6,2.4,0.6,0.1,0.3,0.7,1.1,2.2
JT Thor,PF,21,CHO,10,1,19.9,1.8,4.6,.391,0.8,2.3,.348,1.0,2.3,.435,.478,0.0,0.4,.000,1.2,2.6,3.8,0.9,0.4,0.4,0.3,1.4,4.4
Matisse Thybulle,SF,26,POR,11,9,20.3,2.5,4.8,.509,1.6,3.9,.419,0.8,0.9,.900,.679,0.4,0.5,.800,0.2,1.3,1.5,1.2,1.1,0.7,0.5,1.1,6.9
Xavier Tillman Sr.,C,25,MEM,7,5,25.9,3.9,9.1,.422,1.0,2.9,.350,2.9,6.3,.455,.477,0.6,1.3,.444,2.0,4.7,6.7,2.4,1.6,0.9,1.4,2.9,9.3
Obi Toppin,PF,25,IND,11,11,22.7,4.5,7.4,.617,0.7,2.4,.308,3.8,5.0,.764,.667,1.3,1.5,.824,0.9,2.4,3.3,0.5,0.8,0.3,0.5,1.7,11.1
Karl-Anthony Towns,PF,28,MIN,11,11,33.3,7.9,17.0,.465,2.0,5.9,.338,5.9,11.1,.533,.524,3.2,3.5,.921,1.0,8.3,9.3,2.3,0.9,0.5,2.5,2.8,21.0
Gary Trent Jr.,SG,25,TOR,8,1,27.1,3.9,10.5,.369,1.9,5.3,.357,2.0,5.3,.381,.458,0.8,1.9,.400,0.5,2.0,2.5,0.9,1.0,0.1,1.0,1.3,10.4
P.J. Tucker,PF,38,TOT,9,3,17.8,0.7,1.9,.353,0.6,1.6,.357,0.1,0.3,.333,.500,0.3,0.3,1.000,1.4,2.3,3.8,0.4,0.7,0.3,0.3,2.3,2.2
P.J. Tucker,PF,38,PHI,3,3,22.0,0.7,1.7,.400,0.7,1.7,.400,0.0,0.0,,.600,0.0,0.0,,0.3,4.3,4.7,0.0,1.0,0.7,0.7,3.0,2.0
P.J. Tucker,PF,38,LAC,6,0,15.7,0.7,2.0,.333,0.5,1.5,.333,0.2,0.5,.333,.458,0.5,0.5,1.000,2.0,1.3,3.3,0.7,0.5,0.2,0.2,2.0,2.3
Myles Turner,C,27,IND,11,11,26.6,6.3,12.2,.515,1.9,4.8,.396,4.4,7.4,.593,.593,3.5,4.4,.792,1.5,6.0,7.5,1.5,0.5,1.7,1.6,3.5,17.9
Hunter Tyson,PF,23,DEN,4,0,2.8,0.3,0.8,.333,0.0,0.5,.000,0.3,0.3,1.000,.333,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.0,0.0,1.0,0.5
Stanley Umude,SG,24,DET,8,0,7.8,0.9,2.0,.438,0.6,1.3,.500,0.3,0.8,.333,.594,1.0,1.1,.889,0.0,1.1,1.1,0.1,0.1,0.1,0.4,1.3,3.4
Jonas Valančiūnas,C,31,NOP,11,11,24.2,4.6,9.1,.510,0.9,2.3,.400,3.7,6.8,.547,.560,1.5,1.8,.850,1.7,6.5,8.2,2.0,0.3,1.5,1.5,2.5,11.7
Fred VanVleet,PG,29,HOU,9,9,35.9,5.9,15.3,.384,3.1,8.4,.368,2.8,6.9,.403,.486,2.3,2.7,.875,0.2,3.2,3.4,7.9,0.6,0.3,1.7,2.1,17.2
Devin Vassell,SG,23,SAS,9,8,28.9,6.2,12.6,.496,2.4,5.7,.431,3.8,6.9,.548,.593,2.4,3.3,.733,0.4,3.1,3.6,2.8,1.0,0.1,1.3,0.9,17.3
Sasha Vezenkov,PF,28,SAC,9,0,13.8,2.2,5.2,.426,1.2,3.7,.333,1.0,1.6,.643,.543,0.3,0.3,1.000,0.1,1.7,1.8,0.2,0.7,0.2,0.1,1.1,6.0
Gabe Vincent,PG,27,LAL,4,0,28.3,2.8,7.0,.393,0.3,3.5,.071,2.5,3.5,.714,.411,0.3,0.5,.500,0.5,0.5,1.0,3.0,1.5,0.0,0.5,2.5,6.0
Nikola Vučević,C,33,CHI,12,12,34.8,7.6,15.8,.481,1.0,3.4,.293,6.6,12.3,.534,.513,1.4,1.8,.773,3.0,7.8,10.8,2.9,0.9,0.7,1.9,2.9,17.6
Dean Wade,PF,27,CLE,10,4,18.7,1.0,3.1,.323,0.9,2.9,.310,0.1,0.2,.500,.468,0.2,0.4,.500,0.7,2.7,3.4,0.7,0.6,0.3,0.4,2.2,3.1
Franz Wagner,SF,22,ORL,11,11,33.5,6.7,16.5,.409,1.7,5.6,.306,5.0,10.8,.462,.461,3.1,3.6,.850,1.3,4.4,5.6,3.4,1.0,0.3,2.1,2.3,18.3
Moritz Wagner,C,26,ORL,11,0,19.1,4.5,7.1,.628,0.6,1.8,.350,3.8,5.3,.724,.673,2.0,2.5,.815,1.5,3.1,4.5,1.0,0.5,0.5,1.4,2.7,11.5
Ish Wainright,SF,29,POR,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
Jabari Walker,SF,21,POR,11,0,15.3,2.4,4.9,.481,0.6,1.8,.350,1.7,3.1,.559,.546,1.1,1.4,.800,1.1,2.8,3.9,0.5,0.9,0.7,0.8,2.0,6.5
Jarace Walker,PF,20,IND,3,0,9.0,1.3,4.0,.333,0.0,0.7,.000,1.3,3.3,.400,.333,0.7,0.7,1.000,0.3,2.0,2.3,1.7,0.3,0.3,0.0,0.7,3.3
Lonnie Walker IV,SG,25,BRK,10,0,21.2,5.5,10.8,.509,2.3,5.0,.460,3.2,5.8,.552,.616,1.7,2.2,.773,0.1,2.8,2.9,2.1,0.7,0.5,1.2,0.9,15.0
Cason Wallace,SG,20,OKC,11,1,22.4,3.1,4.7,.654,1.0,1.8,.550,2.1,2.9,.719,.760,0.7,0.7,1.000,0.5,2.0,2.5,1.6,0.6,0.5,0.6,1.8,7.9
P.J. Washington,PF,25,CHO,10,10,33.0,6.9,14.3,.483,1.7,5.2,.327,5.2,9.1,.571,.542,1.7,2.3,.739,1.3,4.2,5.5,2.1,0.4,0.6,1.3,2.6,17.2
TyTy Washington Jr.,PG,22,MIL,2,0,3.0,0.5,1.5,.333,0.5,1.0,.500,0.0,0.5,.000,.500,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,1.0,0.0,1.5
Yuta Watanabe,SF,29,PHO,11,0,19.4,1.8,4.7,.385,1.4,3.7,.366,0.5,1.0,.455,.529,0.5,0.6,.857,0.5,2.2,2.7,0.7,0.4,0.4,0.9,1.8,5.5
Lindy Waters III,SG,26,OKC,5,0,5.8,0.4,1.2,.333,0.4,1.2,.333,0.0,0.0,,.500,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,1.2
Trendon Watford,PF,23,BRK,6,0,12.3,2.3,4.3,.538,0.3,0.8,.400,2.0,3.5,.571,.577,1.0,1.0,1.000,1.0,2.5,3.5,2.0,0.7,0.2,1.0,1.8,6.0
Peyton Watson,SF,21,DEN,11,0,14.5,2.1,3.7,.561,0.4,1.2,.308,1.7,2.5,.679,.610,0.3,0.5,.500,0.3,1.5,1.7,0.6,0.5,1.0,0.5,1.3,4.8
Victor Wembanyama,PF,20,SAS,11,11,30.0,6.9,16.0,.432,1.5,5.5,.283,5.4,10.5,.509,.480,3.3,4.3,.766,2.1,7.2,9.3,2.5,1.0,2.4,3.9,2.5,18.6
Blake Wesley,SG,20,SAS,3,0,6.0,1.0,2.7,.375,0.0,0.3,.000,1.0,2.3,.429,.375,0.3,0.7,.500,0.3,0.3,0.7,1.0,0.0,0.3,0.3,0.7,2.3
Russell Westbrook,PG,35,LAC,10,10,30.7,6.0,12.9,.465,1.0,3.2,.313,5.0,9.7,.515,.504,1.0,1.7,.588,1.5,5.5,7.0,5.7,1.9,0.3,3.3,2.9,14.0
Coby White,PG,23,CHI,12,12,31.8,4.4,11.6,.381,1.8,5.7,.309,2.7,5.9,.451,.457,1.4,1.8,.810,0.3,2.6,2.8,4.1,1.1,0.3,1.7,2.7,12.0
Derrick White,SG,29,BOS,9,9,30.7,4.7,9.6,.488,2.3,5.4,.429,2.3,4.1,.568,.610,2.4,3.0,.815,0.8,2.9,3.7,4.6,1.0,1.0,1.3,2.2,14.1
Cam Whitmore,SF,19,HOU,3,0,7.7,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.3,0.7,.500,0.0,1.0,1.0,0.3,0.3,0.0,0.7,0.3,2.3
Aaron Wiggins,SG,25,OKC,9,0,10.7,1.6,3.0,.519,0.3,1.1,.300,1.2,1.9,.647,.574,0.3,0.4,.750,0.2,1.1,1.3,0.6,0.3,0.1,0.4,1.0,3.8
Andrew Wiggins,SF,28,GSW,12,12,26.1,4.3,10.8,.395,0.4,2.8,.152,3.8,8.0,.479,.415,1.5,3.0,.500,1.9,2.1,4.0,0.9,0.4,0.4,1.6,2.4,10.4
Lindell Wigginton,PG,25,MIL,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Grant Williams,PF,25,DAL,12,12,28.9,3.8,7.9,.474,2.7,5.4,.492,1.1,2.5,.433,.642,1.0,1.6,.632,0.8,2.6,3.4,1.5,0.3,0.7,0.9,2.5,11.2
Jalen Williams,PF,22,OKC,11,11,32.8,6.5,12.3,.526,1.1,3.0,.364,5.4,9.3,.578,.570,3.3,3.8,.857,0.3,3.7,4.0,3.5,0.7,0.3,2.3,3.1,17.3
Jaylin Williams,C,21,OKC,6,0,14.5,1.3,3.8,.348,0.7,2.5,.267,0.7,1.3,.500,.435,0.8,1.0,.833,0.3,3.3,3.7,1.5,0.7,0.3,0.5,2.2,4.2
Jeenathan Williams,SG,24,HOU,2,0,6.5,2.0,3.5,.571,0.0,1.0,.000,2.0,2.5,.800,.571,0.5,1.0,.500,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,4.5
Kenrich Williams,PF,29,OKC,1,0,15.0,4.0,7.0,.571,1.0,3.0,.333,3.0,4.0,.750,.643,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,9.0
Mark Williams,C,22,CHO,10,10,25.1,5.8,7.8,.744,0.0,0.0,,5.8,7.8,.744,.744,2.8,4.0,.700,3.9,5.1,9.0,1.1,1.0,0.7,1.2,2.2,14.4
Patrick Williams,PF,22,CHI,12,6,23.8,2.1,6.3,.329,0.8,3.1,.270,1.3,3.3,.385,.395,1.3,1.7,.800,0.6,3.0,3.6,1.3,1.1,0.9,1.0,1.7,6.3
Robert Williams,C,26,POR,6,0,19.8,2.8,4.3,.654,0.0,0.0,,2.8,4.3,.654,.654,1.2,1.5,.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8
Vince Williams Jr.,SG,23,MEM,4,0,8.0,0.5,2.0,.250,0.3,1.8,.143,0.3,0.3,1.000,.313,1.8,2.0,.875,0.0,1.3,1.3,1.0,0.3,0.8,0.5,1.0,3.0
Ziaire Williams,SF,22,MEM,10,8,25.6,3.0,8.5,.353,1.3,4.5,.289,1.7,4.0,.425,.429,1.0,1.1,.909,0.7,4.4,5.1,1.1,0.5,0.5,1.6,2.2,8.3
Zion Williamson,PF,23,NOP,9,9,31.0,8.6,16.6,.517,0.0,0.1,.000,8.6,16.4,.520,.517,4.2,7.1,.594,2.9,3.7,6.6,4.2,0.9,0.1,2.8,2.8,21.3
Jalen Wilson,PF,23,BRK,2,0,3.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0
Dylan Windler,SF,27,NYK,3,0,2.3,0.3,0.7,.500,0.3,0.7,.500,0.0,0.0,,.750,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.0
James Wiseman,C,22,DET,5,0,10.4,2.6,4.4,.591,0.0,0.2,.000,2.6,4.2,.619,.591,0.2,0.4,.500,1.0,2.0,3.0,0.4,0.2,0.4,0.6,2.0,5.4
Christian Wood,PF,28,LAL,12,1,20.9,2.3,5.2,.435,0.9,2.5,.367,1.3,2.7,.500,.524,1.3,2.2,.615,1.1,5.0,6.1,0.9,0.3,0.7,1.4,1.9,6.8
Delon Wright,PG,31,WAS,8,0,17.6,1.4,3.8,.367,0.5,1.4,.364,0.9,2.4,.368,.433,1.8,2.0,.875,0.4,2.1,2.5,4.4,1.6,0.1,0.5,0.8,5.0
Thaddeus Young,PF,35,TOR,3,0,3.3,0.7,1.3,.500,0.0,0.0,,0.7,1.3,.500,.500,0.0,0.7,.000,0.3,0.7,1.0,1.0,0.0,0.0,0.3,0.0,1.3
Trae Young,PG,25,ATL,10,10,35.6,6.4,18.0,.356,2.0,7.2,.278,4.4,10.8,.407,.411,8.7,9.8,.888,0.7,2.0,2.7,10.9,1.6,0.0,4.1,1.3,23.5
Omer Yurtseven,C,25,UTA,7,0,4.6,1.0,1.4,.700,0.1,0.4,.333,0.9,1.0,.857,.750,0.1,0.3,.500,0.4,1.1,1.6,0.4,0.0,0.1,0.1,0.9,2.3
Cody Zeller,C,31,NOP,8,0,6.6,0.3,1.3,.200,0.0,0.0,,0.3,1.3,.200,.200,0.5,1.3,.400,0.9,1.6,2.5,1.0,0.1,0.0,0.3,0.6,1.0
Ivica Zubac,C,26,LAC,10,10,25.0,4.1,7.2,.569,0.0,0.0,,4.1,7.2,.569,.569,2.1,3.3,.636,3.0,5.4,8.4,0.7,0.2,1.6,1.4,3.3,10.3
